measure,location,sex,age,metric,year,val,upper,lower
HALE (Healthy life expectancy),Chile,Male,All Ages,Years,2017,67.11707083975497,70.01401077960361,64.07377375793793
HALE (Healthy life expectancy),Chile,Female,All Ages,Years,2017,70.21074332032025,73.31900841188366,66.6240095685193
HALE (Healthy life expectancy),Uruguay,Male,All Ages,Years,2017,64.8354813617852,67.35905171744804,62.15732150203621
HALE (Healthy life expectancy),Uruguay,Female,All Ages,Years,2017,69.49310670345221,72.37405282746187,66.368849283828
HALE (Healthy life expectancy),Canada,Male,All Ages,Years,2017,69.60475990231062,72.25049185300809,66.60909193140577
HALE (Healthy life expectancy),Canada,Female,All Ages,Years,2017,71.38515531864152,74.49116845391188,67.74795612091172
HALE (Healthy life expectancy),United States,Male,All Ages,Years,2017,65.26158776596394,67.90289661215408,62.315744887004655
HALE (Healthy life expectancy),United States,Female,All Ages,Years,2017,67.85119040592278,71.00856445766655,64.33562125429249
HALE (Healthy life expectancy),Antigua and Barbuda,Male,All Ages,Years,2017,66.39238161642642,68.71742438484954,63.70834493290578
HALE (Healthy life expectancy),Antigua and Barbuda,Female,All Ages,Years,2017,68.12403444910166,70.84843916714641,64.99607913233068
HALE (Healthy life expectancy),The Bahamas,Male,All Ages,Years,2017,63.22347045368457,65.51838578652777,60.73512617144042
HALE (Healthy life expectancy),The Bahamas,Female,All Ages,Years,2017,66.92843267307536,69.48069667708012,63.9466007858666
HALE (Healthy life expectancy),Barbados,Male,All Ages,Years,2017,67.15951606491426,69.4623423280119,64.54093693277804
HALE (Healthy life expectancy),Barbados,Female,All Ages,Years,2017,68.55866039512982,71.20464811086883,65.51742865780852
HALE (Healthy life expectancy),Belize,Male,All Ages,Years,2017,63.057762555037996,65.25074541368879,60.6382879251867
HALE (Healthy life expectancy),Belize,Female,All Ages,Years,2017,66.9829549290924,69.54293628238881,64.03051126469599
HALE (Healthy life expectancy),Cuba,Male,All Ages,Years,2017,67.90872402083389,70.48872728626971,65.40273799043544
HALE (Healthy life expectancy),Cuba,Female,All Ages,Years,2017,70.44284579018023,73.18993416265229,67.36055172197528
HALE (Healthy life expectancy),Dominica,Male,All Ages,Years,2017,62.55813400472248,64.68775060891369,60.211819152456215
HALE (Healthy life expectancy),Dominica,Female,All Ages,Years,2017,65.77540083852172,68.2974714623444,62.90048367319496
HALE (Healthy life expectancy),Dominican Republic,Male,All Ages,Years,2017,61.976523475332925,64.66811628066641,59.3392803662618
HALE (Healthy life expectancy),Dominican Republic,Female,All Ages,Years,2017,66.77571427737534,69.5475207401772,63.628965875552176
HALE (Healthy life expectancy),Grenada,Male,All Ages,Years,2017,64.82195929279065,66.8865405457961,62.21363854290836
HALE (Healthy life expectancy),Grenada,Female,All Ages,Years,2017,65.75982274229462,68.28098507456188,62.86579807549782
HALE (Healthy life expectancy),Guyana,Male,All Ages,Years,2017,58.57072795113425,60.94487934773662,56.0016718222124
HALE (Healthy life expectancy),Guyana,Female,All Ages,Years,2017,62.406686434262895,65.28909842559257,59.34157823190144
HALE (Healthy life expectancy),Haiti,Male,All Ages,Years,2017,55.79058725782082,58.64354649845189,52.699199141006076
HALE (Healthy life expectancy),Haiti,Female,All Ages,Years,2017,56.78115839642659,59.87300214681267,53.556617495204975
HALE (Healthy life expectancy),Jamaica,Male,All Ages,Years,2017,63.901379919908344,66.60367797695129,60.96183169207058
HALE (Healthy life expectancy),Jamaica,Female,All Ages,Years,2017,67.42552721623302,70.31911736860414,64.16971588157071
HALE (Healthy life expectancy),Saint Lucia,Male,All Ages,Years,2017,64.86347220831121,67.03940468888673,62.51917020868232
HALE (Healthy life expectancy),Saint Lucia,Female,All Ages,Years,2017,67.88410435810458,70.63584556477805,64.90224321712577
HALE (Healthy life expectancy),Saint Vincent and the Grenadines,Male,All Ages,Years,2017,61.7390597166295,63.89407205276775,59.461055247650286
HALE (Healthy life expectancy),Saint Vincent and the Grenadines,Female,All Ages,Years,2017,65.51431935830803,68.09377477818612,62.580272000572656
HALE (Healthy life expectancy),Suriname,Male,All Ages,Years,2017,61.18262306910358,63.65513184838357,58.65040862441029
HALE (Healthy life expectancy),Suriname,Female,All Ages,Years,2017,65.23126284331278,67.96856220044346,62.15870192016432
HALE (Healthy life expectancy),Trinidad and Tobago,Male,All Ages,Years,2017,63.00626022720544,65.98673366264414,59.881583429837676
HALE (Healthy life expectancy),Trinidad and Tobago,Female,All Ages,Years,2017,67.18453503308663,70.63231875306319,63.631517808312175
HALE (Healthy life expectancy),Bolivia,Male,All Ages,Years,2017,62.783198987749564,65.75887128268779,59.852350658467905
HALE (Healthy life expectancy),Bolivia,Female,All Ages,Years,2017,64.44834558964774,67.67719736849287,61.187428278579524
HALE (Healthy life expectancy),Ecuador,Male,All Ages,Years,2017,65.78640406713583,68.23444816649067,63.023674721597736
HALE (Healthy life expectancy),Ecuador,Female,All Ages,Years,2017,68.67781578505284,71.38116174074713,65.6129205966564
HALE (Healthy life expectancy),Peru,Male,All Ages,Years,2017,69.31603126182422,72.38809231352745,66.2040223213695
HALE (Healthy life expectancy),Peru,Female,All Ages,Years,2017,71.29185051908456,74.54669229092411,68.05285526153428
HALE (Healthy life expectancy),Colombia,Male,All Ages,Years,2017,68.70330542675708,71.38841017300864,66.09772950653014
HALE (Healthy life expectancy),Colombia,Female,All Ages,Years,2017,72.05602379334712,74.97715685789461,68.86240335403622
HALE (Healthy life expectancy),Costa Rica,Male,All Ages,Years,2017,67.85646892684153,70.0026402954536,65.23564978185982
HALE (Healthy life expectancy),Costa Rica,Female,All Ages,Years,2017,71.85113070468013,74.40032695447698,68.78705803709663
HALE (Healthy life expectancy),El Salvador,Male,All Ages,Years,2017,61.47899636357923,64.32814661124526,58.431634662071886
HALE (Healthy life expectancy),El Salvador,Female,All Ages,Years,2017,68.25109775655598,71.28139646857134,64.95704560815778
HALE (Healthy life expectancy),Guatemala,Male,All Ages,Years,2017,61.203409951414244,63.68221478323471,58.664388853973634
HALE (Healthy life expectancy),Guatemala,Female,All Ages,Years,2017,66.06458365983124,68.95044533183767,63.115197096232606
HALE (Healthy life expectancy),Honduras,Male,All Ages,Years,2017,64.57593995662324,67.69466138859853,61.410282984698846
HALE (Healthy life expectancy),Honduras,Female,All Ages,Years,2017,65.26069348928432,68.69337465119035,61.82055102839263
HALE (Healthy life expectancy),Mexico,Male,All Ages,Years,2017,64.23733557516181,66.3108158734212,61.8144050735882
HALE (Healthy life expectancy),Mexico,Female,All Ages,Years,2017,68.22265248500771,70.65923698552211,65.33253716220611
HALE (Healthy life expectancy),Nicaragua,Male,All Ages,Years,2017,67.78640391691226,70.45760394231715,65.07941366686536
HALE (Healthy life expectancy),Nicaragua,Female,All Ages,Years,2017,69.81612615486243,72.74614842968855,66.61598764594936
HALE (Healthy life expectancy),Panama,Male,All Ages,Years,2017,68.06255534640214,70.46728080860841,65.3768952821953
HALE (Healthy life expectancy),Panama,Female,All Ages,Years,2017,70.91677497458058,73.62302651750849,67.83345151574053
HALE (Healthy life expectancy),Venezuela,Male,All Ages,Years,2017,63.35146326840042,66.11782748849508,60.51817482510173
HALE (Healthy life expectancy),Venezuela,Female,All Ages,Years,2017,69.29567691593654,72.27578142424944,66.0428892032834
HALE (Healthy life expectancy),Brazil,Male,All Ages,Years,2017,63.0708377556144,65.25229077624132,60.456526208922774
HALE (Healthy life expectancy),Brazil,Female,All Ages,Years,2017,67.74512983723395,70.46318237777442,64.58117065779705
HALE (Healthy life expectancy),Paraguay,Male,All Ages,Years,2017,64.36924550709305,67.4166592690549,61.11562026658196
HALE (Healthy life expectancy),Paraguay,Female,All Ages,Years,2017,67.882542853662,71.03271646242834,64.41946729331092
HALE (Healthy life expectancy),Algeria,Male,All Ages,Years,2017,66.38652855148761,69.05011037156261,63.35505291532433
HALE (Healthy life expectancy),Algeria,Female,All Ages,Years,2017,66.59224205341216,69.6033551350714,63.11267582613355
HALE (Healthy life expectancy),Bahrain,Male,All Ages,Years,2017,67.84477269144715,70.79607517149105,64.71903880548092
HALE (Healthy life expectancy),Bahrain,Female,All Ages,Years,2017,67.61092093414746,70.89472977942877,63.9558396476136
HALE (Healthy life expectancy),Egypt,Male,All Ages,Years,2017,59.27029484709658,61.72996315796858,56.69327904043021
HALE (Healthy life expectancy),Egypt,Female,All Ages,Years,2017,62.98947129216858,66.0093072828714,59.759133643185045
HALE (Healthy life expectancy),Iran,Male,All Ages,Years,2017,64.97002709631633,67.52019526318102,62.048165894784354
HALE (Healthy life expectancy),Iran,Female,All Ages,Years,2017,66.54775239828892,69.72615987008557,62.98536160009304
HALE (Healthy life expectancy),Iraq,Male,All Ages,Years,2017,63.27668004722257,66.18432244650266,60.134326293979036
HALE (Healthy life expectancy),Iraq,Female,All Ages,Years,2017,65.66230944085926,68.96982290372134,61.9032324041193
HALE (Healthy life expectancy),Jordan,Male,All Ages,Years,2017,67.08291120978008,69.98021865978465,63.81072295818686
HALE (Healthy life expectancy),Jordan,Female,All Ages,Years,2017,68.49955345816322,71.71231908064554,64.95849070466151
HALE (Healthy life expectancy),Kuwait,Male,All Ages,Years,2017,69.37170724046217,72.20743744019913,66.10607920039762
HALE (Healthy life expectancy),Kuwait,Female,All Ages,Years,2017,73.07022547011555,76.63965121914956,69.14701034635125
HALE (Healthy life expectancy),Lebanon,Male,All Ages,Years,2017,65.02091310031469,67.7053291439035,61.98183525545468
HALE (Healthy life expectancy),Lebanon,Female,All Ages,Years,2017,67.38206315116089,70.53384065387844,63.865984172441074
HALE (Healthy life expectancy),Libya,Male,All Ages,Years,2017,60.94357501683903,64.08827964223977,58.081718543358384
HALE (Healthy life expectancy),Libya,Female,All Ages,Years,2017,63.48676907386386,66.7094077947049,59.988715734832404
HALE (Healthy life expectancy),Morocco,Male,All Ages,Years,2017,63.018121585449975,66.16699376651887,59.658588034445174
HALE (Healthy life expectancy),Morocco,Female,All Ages,Years,2017,63.33153294037602,66.70187042544053,59.868011107293576
HALE (Healthy life expectancy),Palestine,Male,All Ages,Years,2017,64.63592767269061,67.40599591483928,61.55491236496483
HALE (Healthy life expectancy),Palestine,Female,All Ages,Years,2017,65.61615115826865,68.67700523944254,62.12422265097167
HALE (Healthy life expectancy),Oman,Male,All Ages,Years,2017,65.02319143941557,68.48695166311528,61.721226696912495
HALE (Healthy life expectancy),Oman,Female,All Ages,Years,2017,66.84998712204228,70.2551321318241,63.13973982698568
HALE (Healthy life expectancy),Qatar,Male,All Ages,Years,2017,68.13597235466482,71.49494534752974,64.66958397769736
HALE (Healthy life expectancy),Qatar,Female,All Ages,Years,2017,68.67743677049839,72.10003375443334,64.9923239652926
HALE (Healthy life expectancy),Saudi Arabia,Male,All Ages,Years,2017,65.43855756983463,68.24470420981807,62.67924029157886
HALE (Healthy life expectancy),Saudi Arabia,Female,All Ages,Years,2017,67.77667347972832,70.70286762884503,64.4490858766007
HALE (Healthy life expectancy),Syria,Male,All Ages,Years,2017,56.70173144895126,59.32869881305088,54.00813271916161
HALE (Healthy life expectancy),Syria,Female,All Ages,Years,2017,63.52369557991228,66.46786363815984,60.21174633758629
