measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,55 to 59,Lower respiratory infections,Number,2002,56132.05191803862,59237.323366603996,51386.98222357218
Deaths,Global,Both,60 to 64,Lower respiratory infections,Number,2002,84722.93618793736,89498.28664149831,77478.20549015037
Deaths,Global,Both,65 to 69,Lower respiratory infections,Number,2002,110733.63119699764,116613.80230059875,100636.3943434487
Deaths,Global,Both,70 to 74,Lower respiratory infections,Number,2002,146900.682256007,156435.62184515322,137134.3362505994
Deaths,Global,Both,75 to 79,Lower respiratory infections,Number,2002,164340.5165550525,175604.32757613473,155040.24365780922
Deaths,Global,Both,1 to 4,Lower respiratory infections,Number,2010,287283.88784660475,322232.0623043733,252251.3016402679
Deaths,Global,Both,5 to 9,Lower respiratory infections,Number,2010,36787.54192874151,40920.321192347175,31787.41699921466
Deaths,Global,Both,10 to 14,Lower respiratory infections,Number,2010,18039.11267760268,19924.322941811337,15874.926205118034
Deaths,Global,Both,15 to 19,Lower respiratory infections,Number,2010,15662.396679164971,16890.62936463523,14291.860047377138
Deaths,Global,Both,20 to 24,Lower respiratory infections,Number,2010,18078.88146509909,19629.63194440399,16552.16404991569
Deaths,Global,Both,25 to 29,Lower respiratory infections,Number,2010,20101.32701428467,21310.424449779042,18439.561058135587
Deaths,Global,Both,30 to 34,Lower respiratory infections,Number,2010,22198.320188961574,23678.281676779046,20501.89719446823
Deaths,Global,Both,35 to 39,Lower respiratory infections,Number,2010,27133.456066592287,28944.468282983133,25008.894531612987
Deaths,Global,Both,40 to 44,Lower respiratory infections,Number,2010,31927.972932015986,33935.96787386109,29502.869695011832
Deaths,Global,Both,45 to 49,Lower respiratory infections,Number,2010,40733.14738196889,43273.19155801196,37538.44583263608
Deaths,Global,Both,50 to 54,Lower respiratory infections,Number,2010,56282.18086997368,59388.9021893315,50949.28293062066
Deaths,Global,Both,55 to 59,Lower respiratory infections,Number,2010,70773.01815228802,74100.61671683559,64291.988805541965
Deaths,Global,Both,60 to 64,Lower respiratory infections,Number,2010,97151.9568607367,101820.76696844347,88217.19165411507
Deaths,Global,Both,65 to 69,Lower respiratory infections,Number,2010,119105.67962125898,124863.5352308178,106474.49101876463
Deaths,Global,Both,70 to 74,Lower respiratory infections,Number,2010,161844.34614523652,168988.0960163936,148717.14028224975
Deaths,Global,Both,75 to 79,Lower respiratory infections,Number,2010,192569.17629116555,203938.24837891088,180091.27100282995
Deaths,Global,Both,1 to 4,Lower respiratory infections,Number,2006,346667.62675123423,390023.28144140623,300946.35110053443
Deaths,Global,Both,5 to 9,Lower respiratory infections,Number,2006,40713.12525242888,45649.81841733966,34720.97270232662
Deaths,Global,Both,10 to 14,Lower respiratory infections,Number,2006,18575.29003219446,20482.846011570753,16194.220430168822
