measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,40 to 44,Diarrheal diseases,Number,1992,22634.628397649933,37771.23803808402,13106.009992109492
Deaths,Global,Both,45 to 49,Diarrheal diseases,Number,1992,27652.30288137277,46189.046072008,16142.70818576352
Deaths,Global,Both,50 to 54,Diarrheal diseases,Number,1992,34755.56907010945,57657.55988758702,20642.262847363025
Deaths,Global,Both,55 to 59,Diarrheal diseases,Number,1992,47635.76771192706,78633.18894540747,29218.597381790918
Deaths,Global,Both,60 to 64,Diarrheal diseases,Number,1992,73792.44019779362,120605.43626076131,43824.35488193694
Deaths,Global,Both,65 to 69,Diarrheal diseases,Number,1992,92149.54366001478,149153.21678135075,57382.897823825944
Deaths,Global,Both,70 to 74,Diarrheal diseases,Number,1992,113432.33107947734,177760.2463254687,71063.43759232566
Deaths,Global,Both,75 to 79,Diarrheal diseases,Number,1992,111456.28707572674,174481.38949650014,70945.31949407619
Deaths,Global,Both,1 to 4,Diarrheal diseases,Number,1990,691270.3614916637,825630.1289981129,549176.4051759023
Deaths,Global,Both,5 to 9,Diarrheal diseases,Number,1990,62310.129914723424,95541.01232050447,33185.98574329474
Deaths,Global,Both,10 to 14,Diarrheal diseases,Number,1990,22896.494153269774,35928.54974530086,13051.80786444029
Deaths,Global,Both,15 to 19,Diarrheal diseases,Number,1990,22701.07372182947,36755.10263713863,12597.003883166395
Deaths,Global,Both,20 to 24,Diarrheal diseases,Number,1990,22193.80784767447,36243.0227612595,12395.259287724803
Deaths,Global,Both,25 to 29,Diarrheal diseases,Number,1990,19533.684977669916,31837.979602598287,10820.325296963063
Deaths,Global,Both,30 to 34,Diarrheal diseases,Number,1990,19379.45697377899,31526.917825904777,10857.866703798596
Deaths,Global,Both,35 to 39,Diarrheal diseases,Number,1990,21028.759055709823,34537.91422165037,12047.289136610618
Deaths,Global,Both,40 to 44,Diarrheal diseases,Number,1990,21785.892717647963,36108.60934472804,12382.605605702456
Deaths,Global,Both,45 to 49,Diarrheal diseases,Number,1990,27291.86292786091,45276.0555744628,15966.767558086382
Deaths,Global,Both,50 to 54,Diarrheal diseases,Number,1990,35253.601005558325,58033.56814032973,20689.60008123938
Deaths,Global,Both,55 to 59,Diarrheal diseases,Number,1990,47151.51267742419,77375.02364788622,28547.376420411794
Deaths,Global,Both,60 to 64,Diarrheal diseases,Number,1990,72350.63316784814,118120.60637914628,42401.6167474111
Deaths,Global,Both,65 to 69,Diarrheal diseases,Number,1990,89038.95491809692,143237.61304062745,54846.120470091584
Deaths,Global,Both,70 to 74,Diarrheal diseases,Number,1990,109660.0101011351,169535.6692677605,68237.69562235654
Deaths,Global,Both,75 to 79,Diarrheal diseases,Number,1990,110161.14042885705,171186.57938070403,69214.75148316268
