"id","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"CMR",29.2348,29.067,28.7247,28.3691,28.0002,27.6181,27.2237,26.8177,26.4023,25.9805,25.5563,25.1332,24.7148,24.3028,23.8965,23.4926,23.0855,22.6697,22.2411,21.7988,21.3412,20.8682,20.3846,19.8969,19.4111,18.9331,18.468,18.0206,17.5962,17.2004,16.8359,16.5023,16.1992,15.9283,15.6944,15.5072,15.3776,15.309,15.3002,15.346,15.4472,15.6048,15.8033,16.0182,16.2217,16.3718,16.4256,16.3621,16.1732,15.8616,15.4451,14.9549,14.4355,13.9254,13.4455,13.0091,12.6169,12.2531,11.9039,11.5666,11.237,10.9105,10.5849,10.2599,9.936,9.6166
"COD",28.791,28.6005,28.231,27.8843,27.5604,27.2593,26.9804,26.7222,26.4827,26.2581,26.044,25.8348,25.6244,25.4066,25.1766,24.9268,24.651,24.3512,24.0333,23.7043,23.3786,23.0735,22.8002,22.5636,22.3621,22.1852,22.0158,21.8358,21.6325,21.4027,21.1503,20.8858,20.6236,20.3746,20.1413,19.9167,19.688,19.447,19.1938,18.9374,18.7082,18.5445,18.4652,18.4695,18.5391,18.6318,18.6918,18.6674,18.5217,18.2414,17.8266,17.2954,16.694,16.0662,15.4374,14.8305,14.2604,13.7268,13.2297,12.7742,12.3622,11.9909,11.6501,11.33,11.0255,10.7319
"COG",25.4172,25.0639,24.361,23.6657,22.9779,22.298,21.6268,20.9659,20.3181,19.6883,19.0822,18.5059,17.9658,17.4666,17.0102,16.5978,16.2283,15.8953,15.5921,15.3134,15.0546,14.8119,14.5826,14.3639,14.1519,13.9428,13.7336,13.5254,13.3201,13.1197,12.9262,12.7426,12.573,12.4218,12.2931,12.19,12.1147,12.0673,12.0481,12.0584,12.1062,12.2009,12.341,12.5172,12.7151,12.9205,13.1188,13.2895,13.4086,13.4535,13.3912,13.1921,12.8543,12.3886,11.8112,11.1487,10.4355,9.7131,9.0196,8.381,7.816,7.3304,6.9092,6.5389,6.2168,5.9402
"COL",20.5901,20.1284,19.2336,18.3959,17.6154,16.8918,16.2247,15.6128,15.0539,14.5446,14.0803,13.6555,13.2635,12.8974,12.551,12.2224,11.9135,11.6245,11.3515,11.0865,10.8174,10.5317,10.2215,9.8823,9.5124,9.1115,8.6827,8.2374,7.7885,7.3465,6.9241,6.5332,6.1779,5.86,5.5797,5.3316,5.1064,4.8929,4.6831,4.4748,4.2706,4.077,3.9019,3.7501,3.6213,3.5123,3.4174,3.3298,3.2443,3.159,3.0741,2.9925,2.9182,2.854,2.7998,2.7553,2.7196,2.6899,2.6628,2.6359,2.606,2.5705,2.5284,2.4796,2.424,2.3625
"CPV",19.9915,19.8964,19.718,19.5629,19.4311,19.3217,19.2307,19.1529,19.0782,18.9891,18.8655,18.687,18.4349,18.099,17.6813,17.2003,16.6851,16.1651,15.6592,15.1696,14.6752,14.1403,13.5383,12.8612,12.1236,11.3619,10.625,9.9595,9.3976,8.9503,8.6127,8.363,8.1599,7.9684,7.7725,7.564,7.3437,7.1223,6.9068,6.6948,6.4831,6.2686,6.0478,5.8175,5.5752,5.3135,5.0247,4.7106,4.3785,4.0391,3.7111,3.4156,3.1682,2.9781,2.8475,2.7727,2.7428,2.7382,2.741,2.7409,2.7297,2.7034,2.6654,2.6188,2.5637,2.5013
"CRI",16.1672,15.9619,15.5511,15.1398,14.728,14.3158,13.9033,13.4906,13.0781,12.6664,12.256,11.8476,11.4415,11.0379,10.6365,10.2388,9.8472,9.4603,9.074,8.683,8.274,7.8313,7.3493,6.8297,6.2805,5.7168,5.1578,4.6251,4.1372,3.7053,3.3372,3.0338,2.7842,2.577,2.4066,2.2676,2.1553,2.0648,1.9905,1.9266,1.8685,1.8135,1.7619,1.7138,1.6673,1.6215,1.5765,1.5334,1.493,1.4554,1.4203,1.3879,1.358,1.3303,1.3045,1.2804,1.2577,1.2362,1.2158,1.1963,1.1781,1.1615,1.1468,1.1336,1.1215,1.1094
"CUB",12.0272,11.8366,11.4567,11.0795,10.7048,10.3328,9.9632,9.5959,9.2308,8.8674,8.5053,8.1443,7.7845,7.4264,7.0712,6.7216,6.3812,6.0513,5.7319,5.4217,5.1139,4.7996,4.4748,4.1401,3.801,3.4696,3.1612,2.8887,2.6601,2.4769,2.3356,2.2274,2.1379,2.0552,1.9735,1.8903,1.807,1.7283,1.6571,1.5922,1.5316,1.4724,1.4123,1.3498,1.2844,1.2159,1.1452,1.0746,1.0066,0.9429,0.8856,0.8367,0.7965,0.7649,0.7416,0.7259,0.7167,0.7119,0.7093,0.7072,0.7038,0.6979,0.6893,0.6782,0.6645,0.6485
"CYP",8.6064,8.408,8.0185,7.6438,7.2838,6.9386,6.6081,6.2922,5.9908,5.7037,5.4304,5.1705,4.9233,4.6881,4.464,4.2504,4.0469,3.8533,3.669,3.4934,3.3259,3.1662,3.014,2.8691,2.731,2.5992,2.4736,2.3541,2.2405,2.1323,2.0293,1.9312,1.838,1.7493,1.6648,1.5842,1.5075,1.4344,1.3649,1.2986,1.2355,1.1753,1.1181,1.0637,1.0119,0.9626,0.9158,0.8713,0.8291,0.7889,0.7504,0.713,0.6767,0.6417,0.6085,0.5784,0.553,0.533,0.5185,0.5089,0.5027,0.4978,0.4923,0.4847,0.4744,0.4614
"CZE",6.3198,5.9466,5.2411,4.6171,4.0746,3.6134,3.2328,2.9305,2.7025,2.5431,2.4439,2.3952,2.3843,2.3976,2.4222,2.4466,2.4631,2.4709,2.4691,2.4542,2.4243,2.3804,2.3268,2.2679,2.2052,2.1404,2.0745,2.0078,1.9408,1.8741,1.8077,1.7414,1.6746,1.6072,1.5398,1.4739,1.4112,1.3524,1.2976,1.2457,1.1942,1.1394,1.0791,1.0123,0.9399,0.8644,0.7896,0.7196,0.6575,0.6048,0.5616,0.527,0.4981,0.4726,0.4494,0.4277,0.4072,0.3884,0.3713,0.3558,0.3416,0.3288,0.3173,0.3072,0.2983,0.2904
"DEU",5.9028,5.7928,5.5749,5.3612,5.1517,4.9463,4.7447,4.5466,4.3515,4.1583,3.966,3.7741,3.5827,3.3936,3.2099,3.0389,2.8888,2.7638,2.6644,2.5879,2.5268,2.4712,2.4106,2.3373,2.2482,2.1431,2.0254,1.9028,1.7824,1.6675,1.5605,1.463,1.3737,1.2916,1.2165,1.1477,1.0839,1.024,0.9667,0.9118,0.8591,0.809,0.7626,0.7202,0.682,0.6483,0.6191,0.594,0.5725,0.554,0.5377,0.5232,0.5097,0.497,0.4845,0.4725,0.4616,0.4522,0.444,0.4363,0.4276,0.4157,0.3996,0.379,0.3546,0.3278
